column_name,count,mean,std,min,25%,50%,75%,max
WGTP44,74947.0,18.30025217820593,24.32655301216686,0.0,4.0,11.0,23.0,678.0
WGTP45,74947.0,18.301239542610112,24.213098581432835,0.0,4.0,11.0,24.0,493.0
WGTP46,74947.0,18.29823742111092,24.335613899734874,0.0,4.0,11.0,24.0,455.0
WGTP47,74947.0,18.301119457750143,24.199234945637713,0.0,4.0,11.0,23.0,501.0
WGTP48,74947.0,18.300705832121366,24.249767767808493,0.0,4.0,11.0,24.0,597.0
WGTP49,74947.0,18.300492347925868,24.24097450006135,0.0,4.0,11.0,24.0,422.0
WGTP50,74947.0,18.301132800512363,24.22667814848394,-4.0,3.0,11.0,24.0,496.0
WGTP51,74947.0,18.298971273032944,24.10767946304695,-9.0,4.0,11.0,24.0,599.0
WGTP52,74947.0,18.29946495523503,24.143259444485757,-5.0,4.0,11.0,23.0,488.0
WGTP53,74947.0,18.300612432785837,24.136020319746333,0.0,4.0,11.0,23.0,512.0
WGTP54,74947.0,18.299718467717188,24.074273748689247,-3.0,4.0,11.0,24.0,520.0
WGTP55,74947.0,18.301973394532137,23.93582186063801,-5.0,4.0,11.0,24.0,452.0
WGTP56,74947.0,18.299838552577153,24.300822660168624,-2.0,4.0,11.0,23.0,450.0
WGTP57,74947.0,18.2993715558995,24.28226786255296,-2.0,4.0,11.0,23.0,469.0
WGTP58,74947.0,18.30077254593246,24.237380584163514,0.0,4.0,11.0,24.0,690.0
WGTP59,74947.0,18.302093479392102,23.939257035258407,-2.0,4.0,11.0,24.0,464.0
WGTP60,74947.0,18.301026058414614,24.5406842586009,-1.0,4.0,11.0,23.0,474.0
WGTP61,74947.0,18.30212016491654,24.186312076176613,0.0,4.0,11.0,24.0,509.0
WGTP62,74947.0,18.300799231456896,24.341785472229912,-1.0,4.0,11.0,23.0,536.0
WGTP63,74947.0,18.302160193203196,23.99089262711531,0.0,4.0,11.0,24.0,530.0
WGTP64,74947.0,18.29957169733278,24.24302212151421,0.0,4.0,11.0,23.0,444.0
WGTP65,74947.0,18.300012008485997,24.16552578981634,0.0,4.0,11.0,24.0,489.0
WGTP66,74947.0,18.30154642614114,24.301428012514098,0.0,4.0,11.0,23.0,492.0
WGTP67,74947.0,18.299625068381655,24.10327609463441,0.0,4.0,11.0,23.0,501.0
WGTP68,74947.0,18.301599797190015,24.266698102700865,0.0,4.0,11.0,24.0,525.0
WGTP69,74947.0,18.300732517645802,24.199097777060167,0.0,4.0,11.0,24.0,527.0
WGTP70,74947.0,18.29919809999066,24.31093030819899,0.0,4.0,11.0,24.0,459.0
WGTP71,74947.0,18.29949164075947,24.189752484167002,0.0,4.0,11.0,24.0,538.0
WGTP72,74947.0,18.29745019814002,24.389047959659624,0.0,4.0,11.0,24.0,478.0
WGTP73,74947.0,18.301479712330046,24.287775100777093,0.0,4.0,11.0,24.0,477.0
WGTP74,74947.0,18.30175991033664,24.49550843570527,0.0,4.0,11.0,24.0,556.0
WGTP75,74947.0,18.301039401176833,24.125997427846066,0.0,4.0,11.0,23.0,397.0
WGTP76,74947.0,18.299718467717188,24.27767268229984,-3.0,4.0,11.0,24.0,644.0
WGTP77,74947.0,18.29929149932619,24.256346411005925,0.0,4.0,11.0,23.0,486.0
WGTP78,74947.0,18.30105274393905,24.361174453149363,0.0,4.0,11.0,23.0,529.0
WGTP79,74947.0,18.300572404499178,24.18803045298021,0.0,4.0,11.0,23.0,695.0
WGTP80,74947.0,18.301920023483262,24.373448850251464,0.0,4.0,11.0,24.0,440.0
